AphiaID	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct
515381	1	0	0	0	0
220235	1	0	0	0	0
514826	1	0	0	0	0
514838	1	0	0	0	0
514858	1	0	0	0	NA
210518	1	0	0	0	0
210549	1	0	0	0	0
514882	1	0	0	0	0
514903	1	0	0	0	0
210539	1	0	0	0	0
210501	1	0	0	0	0
210506	1	0	0	0	0
329349	1	0	0	0	0
131220	1	0	0	0	0
606823	1	NA	NA	NA	NA
338326	1	0	0	0	0
598877	1	NA	NA	NA	NA
598879	1	NA	NA	NA	NA
765264	1	NA	NA	NA	NA
370596	1	NA	NA	NA	NA
370606	1	NA	NA	NA	NA
370621	1	1	0	0	NA
370683	1	1	NA	NA	NA
370691	1	NA	NA	NA	NA
177538	1	NA	NA	NA	NA
475680	1	0	0	0	0
475686	1	NA	NA	NA	NA
475695	1	0	0	0	0
137412	1	0	0	0	0
514956	1	0	0	0	0
240856	1	0	0	0	0
514998	1	0	0	0	0
221011	1	0	0	0	0
588809	1	0	0	0	NA
515021	1	0	0	0	0
220241	1	0	0	0	0
515030	1	0	0	0	0
515144	1	0	0	0	0
515766	1	0	0	0	0
515170	1	0	0	0	0
515194	1	0	0	0	0
107491	1	0	0	0	NA
515386	1	0	0	0	0
240677	1	0	0	0	0
246234	1	0	0	0	0
515561	1	0	0	0	0
515620	1	0	0	0	0
388854	1	0	0	0	0
514312	1	0	0	0	0
514299	1	0	0	0	0
514376	1	0	0	0	NA
514277	1	0	0	0	0
957121	1	0	0	0	0
957122	1	0	0	0	0
514492	1	0	0	0	NA
932637	1	0	0	0	0
514336	1	0	0	0	NA
246267	1	0	0	0	0
210631	1	NA	NA	NA	NA
210628	1	0	0	0	0
514511	1	0	0	0	NA
379367	1	NA	0	0	NA
884350	1	0	0	0	0
514580	1	0	0	0	0
387606	1	NA	0	0	NA
387611	1	NA	0	0	NA
220164	1	0	0	0	0
514646	1	0	0	0	NA
514652	1	0	0	0	NA
246395	1	0	0	0	NA
210613	1	0	0	0	NA
210614	1	0	0	0	NA
514712	1	0	0	0	NA
514725	1	0	0	0	NA
514729	1	0	0	0	NA
514742	1	0	0	0	NA
220185	1	0	0	0	NA
514759	1	0	0	0	NA
220198	1	0	0	0	NA
764620	1	0	0	0	NA
514784	1	0	0	0	NA
212226	1	0	0	0	NA
210445	1	0	0	0	0
515431	1	0	0	0	0
515516	1	0	0	0	0
241303	1	0	0	0	0
515491	1	0	0	0	0
514198	1	0	0	0	0
514205	1	0	0	0	NA
514235	1	0	0	0	0
515394	1	0	0	0	0
514398	1	0	0	0	0
514412	1	0	0	0	0
741330	1	0	0	0	0
477492	1	0	0	0	0
478001	1	0	0	0	0
477570	1	0	0	0	0
477601	1	0	0	0	0
477728	1	0	0	0	0
477730	1	0	0	0	0
477900	1	0	0	0	0
477814	1	0	0	0	0
478322	1	1	0	0	0
241293	1	0	0	0	0
382868	1	0	0	0	0
